geo_value,time_value,indicator,indicator_value
42095,11/6/20,communityIll_value,14.7239484
42095,11/7/20,communityIll_value,16.1231866
42095,11/8/20,communityIll_value,14.5776164
42095,11/9/20,communityIll_value,15.9468639
42095,11/10/20,communityIll_value,19.553397
42095,11/11/20,communityIll_value,19.065167
42095,11/12/20,communityIll_value,20.1751224
42095,11/13/20,communityIll_value,22.0168924
42095,11/14/20,communityIll_value,20.8484315
42095,11/15/20,communityIll_value,20.8620534
42095,11/16/20,communityIll_value,21.2986236
42095,11/17/20,communityIll_value,18.7040346
42095,11/18/20,communityIll_value,19.3931499
42095,11/19/20,communityIll_value,21.0818679
42095,11/20/20,communityIll_value,22.1644673
42095,11/21/20,communityIll_value,23.9591705
42095,11/22/20,communityIll_value,24.2154604
42095,11/23/20,communityIll_value,25.4274742
42095,11/24/20,communityIll_value,28.5542728
42095,11/25/20,communityIll_value,29.3675233
42095,11/26/20,communityIll_value,27.6962797
42095,11/27/20,communityIll_value,27.7921713
42095,11/28/20,communityIll_value,26.3503061
42095,11/29/20,communityIll_value,28.0234737
42095,11/30/20,communityIll_value,26.7781737
42095,12/1/20,communityIll_value,27.7629759
42097,10/2/20,communityIll_value,24.1840727
42097,10/3/20,communityIll_value,24.2361377
42097,10/4/20,communityIll_value,24.4393147
42097,10/5/20,communityIll_value,23.7922313
42097,10/6/20,communityIll_value,24.2461461
42097,10/7/20,communityIll_value,24.6784424
42097,10/8/20,communityIll_value,25.9049085
42097,10/9/20,communityIll_value,21.1815822
42097,10/10/20,communityIll_value,20.5401801
42097,10/12/20,communityIll_value,23.5357157
42097,11/16/20,communityIll_value,32.3001828
42097,11/17/20,communityIll_value,31.2737226
42097,11/18/20,communityIll_value,28.6444511
42097,11/19/20,communityIll_value,32.5455617
42097,11/20/20,communityIll_value,34.3049429
42097,11/21/20,communityIll_value,35.269214
42097,11/22/20,communityIll_value,35.6367261
42097,11/23/20,communityIll_value,35.7692954
42097,11/24/20,communityIll_value,38.0519626
42097,11/25/20,communityIll_value,37.4300611
42097,11/26/20,communityIll_value,37.8987829
42097,11/27/20,communityIll_value,39.2598028
42097,11/28/20,communityIll_value,41.1051622
42097,11/29/20,communityIll_value,40.807684
42097,11/30/20,communityIll_value,45.4629558
42097,12/1/20,communityIll_value,42.2702736
42101,10/1/20,communityIll_value,13.7766629
42101,10/2/20,communityIll_value,14.0273331
